날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.03.15,38200,-1450,39200,39650,38200,92337,계룡건설
2022.03.14,39650,-200,39850,40550,39250,176599,계룡건설
2022.03.11,39850,3550,36300,40950,36200,556038,계룡건설
2022.03.10,36300,0,37300,37300,35800,117386,계룡건설
2022.03.23,8700,-40,8840,8840,8630,18082,고려신용정보
2022.03.22,8740,130,8580,9100,8570,35375,고려신용정보
2022.03.21,8610,-110,8720,8770,8590,25450,고려신용정보
2022.03.18,8720,30,8730,8780,8660,20759,고려신용정보
2022.03.17,8690,-170,8860,8990,8650,70326,고려신용정보
2022.03.16,8860,-70,8940,9070,8750,44431,고려신용정보
2022.03.15,8930,-50,9020,9320,8490,173382,고려신용정보
2022.03.14,8980,480,8600,9000,8510,132946,고려신용정보
2022.03.11,8500,120,8500,8510,8350,54579,고려신용정보
2022.03.10,8380,0,8590,8590,8200,35246,고려신용정보
2022.03.23,18550,0,18700,18700,18350,186328,고영
2022.03.22,18550,500,18100,18600,18000,176619,고영
2022.03.21,18050,200,17950,18350,17850,271951,고영
2022.03.18,17850,-50,17950,18150,17600,382353,고영
2022.03.17,17900,50,18200,18400,17800,253641,고영
2022.03.16,17850,200,18100,18150,17450,185644,고영
2022.03.15,17650,150,17300,17900,17200,165900,고영
2022.03.14,17500,-500,17850,18150,17200,215927,고영
2022.03.11,18000,350,17550,18050,17450,236903,고영
2022.03.10,17650,0,17350,18000,17250,467650,고영
2022.03.23,147000,-500,147400,147600,145700,26381,골프존
2022.03.22,147500,500,147000,148300,145500,36253,골프존
2022.03.21,147000,2500,145100,147800,143700,39019,골프존
2022.03.18,144500,-300,144300,144800,142300,35455,골프존
2022.03.17,144800,1000,145300,145400,142800,36567,골프존
2022.03.16,143800,3900,142200,144200,139200,38641,골프존
2022.03.15,139900,-600,139000,141100,136500,33738,골프존
2022.03.14,140500,-4000,144000,144400,138400,56431,골프존
2022.03.11,144500,-2500,147000,147000,142200,55910,골프존
2022.03.10,147000,0,148000,148700,145200,33326,골프존
2022.03.23,8400,180,8220,8500,8180,159773,골프존뉴딘홀딩스
2022.03.22,8220,50,8170,8230,8150,32195,골프존뉴딘홀딩스
2022.03.21,8170,10,8170,8220,8150,18779,골프존뉴딘홀딩스
2022.03.18,8160,-20,8180,8190,8120,34270,골프존뉴딘홀딩스
2022.03.17,8180,40,8150,8190,8080,47075,골프존뉴딘홀딩스
2022.03.16,8140,70,8080,8150,7970,112348,골프존뉴딘홀딩스
2022.03.15,8070,-60,8090,8150,8020,41939,골프존뉴딘홀딩스
2022.03.14,8130,-100,8250,8250,8070,40175,골프존뉴딘홀딩스
2022.03.11,8230,-50,8280,8280,8200,29220,골프존뉴딘홀딩스
2022.03.10,8280,0,8200,8300,8190,49114,골프존뉴딘홀딩스
2022.03.23,58300,800,57900,58600,57500,42493,국도화학
2022.03.22,57500,200,57100,57600,56900,26674,국도화학
2022.03.21,57300,-100,57600,57900,57000,23551,국도화학
2022.03.18,57400,300,57400,57400,56500,31581,국도화학
2022.03.17,57100,400,57300,58100,56900,36608,국도화학
2022.03.16,56700,300,56900,57300,55800,29041,국도화학
2022.03.15,56400,-500,56700,58000,56000,29895,국도화학
2022.03.14,56900,-1700,58600,58600,56600,32847,국도화학
2022.03.11,58600,1800,56800,58900,56000,54065,국도화학
2022.03.10,56800,0,57700,58200,56700,31031,국도화학
2022.03.23,31150,50,31600,31600,30900,56682,GST
2022.03.22,31100,500,30400,31200,30400,79623,GST
2022.03.21,30600,-300,31050,31050,30500,66887,GST
2022.03.18,30900,950,30200,30900,29950,130110,GST
2022.03.17,29950,850,29850,30300,29600,169561,GST
2022.03.16,29100,50,29650,29700,28700,170341,GST
2022.03.15,29050,-650,29700,29900,28800,105083,GST
2022.03.14,29700,-1250,30850,30850,29450,156697,GST
2022.03.11,30950,-550,31250,31600,30650,87099,GST
2022.03.10,31500,0,32200,32250,31350,52922,GST
2022.03.23,31650,-200,33750,33750,31400,1090,금호건설우
2022.03.22,31850,-50,32300,32300,31450,137,금호건설우
2022.03.21,31900,200,31950,31950,31700,538,금호건설우
2022.03.18,31700,100,31900,31900,31450,237,금호건설우
2022.03.17,31600,50,31550,31600,31300,683,금호건설우
2022.03.16,31550,800,31000,31650,31000,1139,금호건설우
2022.03.15,30750,-100,31000,31000,30650,231,금호건설우
2022.03.14,30850,100,31000,31500,30800,1358,금호건설우
2022.03.11,30750,500,30300,31000,30300,1947,금호건설우
