,0,1,2,3
495,END,49305,189555418323068339161552388096,5777106705767679253343809904312320
496,SELL,49315,189555418323068339161552388096,9347925454602115145751956018954240
497,BUY,49310,306695124846614579203769630720,0
498,SELL,49905,306695124846614579203769630720,9530409053885850820378198949232640
499,BUY,49895,303099240528841852047971057664,0
500,SELL,50495,303099240528841852047971057664,9712268598203155931606981583831040
501,BUY,50485,299557028942984332422223495168,0
502,END,50485,299557028942984332422223495168,9712268598203155931606981583831040
503,SELL,50490,299557028942984332422223495168,15124634391331278943998064271032320
504,BUY,50495,491838898987815013632800980992,0
505,END,50495,491838898987815013632800980992,15124634391331278943998064271032320
506,SELL,50500,491838898987815013632800980992,24837864398884658188456449540096000
507,BUY,50490,791444634496355643144554938368,0
508,END,50490,791444634496355643144554938368,24837864398884658188456449540096000
509,SELL,50495,791444634496355643144554938368,39963996818893478200584301612892160
510,BUY,50490,1283380946615283462062649376768,0
511,END,50490,1283380946615283462062649376768,39963996818893478200584301612892160
512,SELL,50500,1283380946615283462062649376768,64810737804071814834163793526784000
513,BUY,50495,2074698501109003505159339245568,0
514,END,50495,2074698501109003505159339245568,64810737804071814834163793526784000
515,SELL,50500,2074698501109003505159339245568,104772274306004677010546631901184000
516,BUY,50500,3357874032031107775834670235648,0
517,END,50500,3357874032031107775834670235648,104772274306004677010546631901184000
518,SELL,50505,3357874032031107775834670235648,169589427987731098218530020251402240
519,BUY,50505,5432034707921505395239127351296,0
520,SELL,51115,5432034707921505395239127351296,172902969159563216509625887935692800
521,BUY,51115,5367209486913345291452321628160,0
522,END,51115,5367209486913345291452321628160,172902969159563216509625887935692800
523,SELL,51120,5367209486913345291452321628160,274371748971010211299042681631539200
524,BUY,51130,8747269354256578723536995090432,0
525,SELL,51750,8747269354256578723536995090432,279795055970649290107635618587607040
526,BUY,51750,8642471151365001672224025870336,0
527,END,51750,8642471151365001672224025870336,279795055970649290107635618587607040
528,SELL,51760,8642471151365001672224025870336,447334306794652486554315579048591360
529,BUY,51770,14043711378284492305794294874112,0
530,END,51770,14043711378284492305794294874112,447334306794652486554315579048591360
531,SELL,51775,14043711378284492305794294874112,727113156610679589132499617107148800
532,BUY,51770,22684513132092730990909865328640,0
533,END,51770,22684513132092730990909865328640,727113156610679589132499617107148800
534,SELL,51780,22684513132092730990909865328640,1174604089979761610709312826716979200
535,BUY,51780,36722487475069916019265644789760,0
536,END,51780,36722487475069916019265644789760,1174604089979761610709312826716979200
537,SELL,51790,36722487475069916019265644789760,1901857626333870950637767743661670400
538,BUY,51800,59384063541291154380013384499200,0
539,END,51800,59384063541291154380013384499200,1901857626333870950637767743661670400
540,SELL,51805,59384063541291154380013384499200,3076391411756588252656593383981056000
541,BUY,51795,96108738638338699638044222291968,0
542,END,51795,96108738638338699638044222291968,3076391411756588252656593383981056000
543,SELL,51800,96108738638338699638044222291968,4978432661465944641250690714723942400
544,BUY,51795,155504267391241266652546246639616,0
545,SELL,52420,155504267391241266652546246639616,5075622828585470432908532118873702400
546,BUY,52410,153679517831126518142467500408832,0
547,END,52410,153679517831126518142467500408832,5075622828585470432908532118873702400
548,SELL,52420,153679517831126518142467500408832,8055880324707652081028146371430973440
549,BUY,52425,250452386420883388709364394098688,0
