jongmok,date,time,price,gap
A005930,20210402,1152,84800,1900
A005930,20210402,1151,84900,2000
A122630,20210402,1150,27535,665
A122630,20210402,1149,27545,675
A122630,20210402,1148,27550,680
A122630,20210402,1147,27555,685
A122630,20210402,1146,27555,685
A122630,20210402,1145,27565,695
A122630,20210402,1144,27555,685
A122630,20210402,1143,27550,680
A122630,20210402,1142,27540,670
A122630,20210402,1141,27525,655
A005930,20210402,1150,84900,2000
A005930,20210402,1149,84900,2000
A005930,20210402,1148,84800,1900
A005930,20210402,1147,84800,1900
A005930,20210402,1146,84900,2000
A005930,20210402,1145,84800,1900
A005930,20210402,1144,84800,1900
A005930,20210402,1143,84800,1900
A005930,20210402,1142,84900,2000
A005930,20210402,1141,84900,2000
A122630,20210402,1140,27530,660
A122630,20210402,1139,27520,650
A122630,20210402,1138,27540,670
A122630,20210402,1137,27560,690
A122630,20210402,1136,27555,685
A122630,20210402,1135,27555,685
A122630,20210402,1134,27540,670
A122630,20210402,1133,27545,675
A122630,20210402,1132,27535,665
A122630,20210402,1131,27520,650
A005930,20210402,1140,84800,1900
A005930,20210402,1139,84900,2000
A005930,20210402,1138,84800,1900
A005930,20210402,1137,84900,2000
A005930,20210402,1136,84800,1900
A005930,20210402,1135,84900,2000
A005930,20210402,1134,84900,2000
A005930,20210402,1133,84900,2000
A005930,20210402,1132,84800,1900
A005930,20210402,1131,84900,2000
A122630,20210402,1130,27515,645
A122630,20210402,1129,27505,635
A122630,20210402,1128,27495,625
A122630,20210402,1127,27505,635
A122630,20210402,1126,27505,635
A122630,20210402,1125,27495,625
A122630,20210402,1124,27495,625
A122630,20210402,1123,27495,625
A122630,20210402,1122,27500,630
A122630,20210402,1121,27505,635
A005930,20210402,1130,84900,2000
A005930,20210402,1129,84900,2000
A005930,20210402,1128,84900,2000
A005930,20210402,1127,84900,2000
A005930,20210402,1126,84800,1900
A005930,20210402,1125,84900,2000
A005930,20210402,1124,84800,1900
A005930,20210402,1123,84900,2000
A005930,20210402,1122,84800,1900
A005930,20210402,1121,84800,1900
A122630,20210402,1120,27505,635
A122630,20210402,1119,27505,635
A122630,20210402,1118,27530,660
A122630,20210402,1117,27510,640
A122630,20210402,1116,27510,640
A122630,20210402,1115,27515,645
A122630,20210402,1114,27515,645
A122630,20210402,1113,27500,630
A122630,20210402,1112,27495,625
A122630,20210402,1111,27500,630
A005930,20210402,1120,84900,2000
A005930,20210402,1119,84800,1900
A005930,20210402,1118,84900,2000
A005930,20210402,1117,84900,2000
A005930,20210402,1116,84800,1900
A005930,20210402,1115,84900,2000
A005930,20210402,1114,84800,1900
A005930,20210402,1113,84900,2000
A005930,20210402,1112,84900,2000
A005930,20210402,1111,84900,2000
A122630,20210402,1110,27510,640
A122630,20210402,1109,27510,640
A122630,20210402,1108,27510,640
A122630,20210402,1107,27545,675
A122630,20210402,1106,27570,700
A122630,20210402,1105,27585,715
A122630,20210402,1104,27585,715
A122630,20210402,1103,27575,705
A122630,20210402,1102,27580,710
A122630,20210402,1101,27580,710
A005930,20210402,1110,84900,2000
A005930,20210402,1109,84800,1900
A005930,20210402,1108,84900,2000
A005930,20210402,1107,84900,2000
A005930,20210402,1106,84900,2000
A005930,20210402,1105,84900,2000
A005930,20210402,1104,84900,2000
A005930,20210402,1103,84900,2000
A005930,20210402,1102,84900,2000
A005930,20210402,1101,84800,1900
A122630,20210402,1100,27575,705
A122630,20210402,1059,27540,670
A122630,20210402,1058,27540,670
A122630,20210402,1057,27515,645
A122630,20210402,1056,27520,650
A122630,20210402,1055,27520,650
A122630,20210402,1054,27520,650
A122630,20210402,1053,27520,650
A122630,20210402,1052,27515,645
A122630,20210402,1051,27515,645
A005930,20210402,1100,84800,1900
A005930,20210402,1059,84800,1900
A005930,20210402,1058,84900,2000
A005930,20210402,1057,84900,2000
A005930,20210402,1056,84900,2000
A005930,20210402,1055,84900,2000
A005930,20210402,1054,84900,2000
