날짜,종가,전일비,시가,고가,저가,거래량,NM
2022.03.16,30300,150,30900,30900,30200,10655,SK디앤디
2022.03.15,30150,650,30750,31150,29900,24937,SK디앤디
2022.03.14,30800,400,31300,31500,30700,20929,SK디앤디
2022.03.11,31200,100,31100,31300,30900,14539,SK디앤디
2022.03.10,31100,600,30900,31100,30500,12872,SK디앤디
2022.03.08,30500,300,30400,30950,30400,11898,SK디앤디
2022.03.22,10600,500,10250,10600,10100,869112,TCC스틸
2022.03.21,10100,100,10300,10300,10050,364951,TCC스틸
2022.03.18,10200,100,10650,10700,10100,978355,TCC스틸
2022.03.17,10300,590,9960,10350,9850,910544,TCC스틸
2022.03.16,9710,70,9780,9880,9400,866141,TCC스틸
2022.03.15,9640,410,9930,10100,9570,708133,TCC스틸
2022.03.14,10050,50,9950,10500,9610,1274918,TCC스틸
2022.03.11,10100,500,10450,10700,9960,1418090,TCC스틸
2022.03.10,10600,400,10500,10850,10400,1102341,TCC스틸
2022.03.08,10200,1150,11700,12100,10200,4132691,TCC스틸
2022.03.22,40000,1200,38900,40250,38900,148696,계룡건설
2022.03.21,38800,450,39500,39600,38700,89895,계룡건설
2022.03.18,39250,250,39850,39850,38350,86567,계룡건설
2022.03.17,39500,100,40000,40100,39150,76943,계룡건설
2022.03.16,39600,1400,38600,40150,37950,207430,계룡건설
2022.03.15,38200,1450,39200,39650,38200,92337,계룡건설
2022.03.14,39650,200,39850,40550,39250,176599,계룡건설
2022.03.11,39850,3550,36300,40950,36200,556038,계룡건설
2022.03.10,36300,750,37300,37300,35800,117386,계룡건설
2022.03.08,35550,350,35300,36000,34950,63589,계룡건설
2022.03.22,8740,130,8580,9100,8570,35221,고려신용정보
2022.03.21,8610,110,8720,8770,8590,25450,고려신용정보
2022.03.18,8720,30,8730,8780,8660,20759,고려신용정보
2022.03.17,8690,170,8860,8990,8650,70326,고려신용정보
2022.03.16,8860,70,8940,9070,8750,44431,고려신용정보
2022.03.15,8930,50,9020,9320,8490,173382,고려신용정보
2022.03.14,8980,480,8600,9000,8510,132946,고려신용정보
2022.03.11,8500,120,8500,8510,8350,54579,고려신용정보
2022.03.10,8380,270,8590,8590,8200,35246,고려신용정보
2022.03.08,8110,150,8200,8250,7900,31105,고려신용정보
2022.03.22,18550,500,18100,18600,18000,175200,고영
2022.03.21,18050,200,17950,18350,17850,271951,고영
2022.03.18,17850,50,17950,18150,17600,382353,고영
2022.03.17,17900,50,18200,18400,17800,253641,고영
2022.03.16,17850,200,18100,18150,17450,185644,고영
2022.03.15,17650,150,17300,17900,17200,165900,고영
2022.03.14,17500,500,17850,18150,17200,215927,고영
2022.03.11,18000,350,17550,18050,17450,236903,고영
2022.03.10,17650,400,17350,18000,17250,467650,고영
2022.03.08,17250,350,17100,17600,16750,366453,고영
2022.03.22,147500,500,147000,148300,145500,36221,골프존
2022.03.21,147000,2500,145100,147800,143700,39019,골프존
2022.03.18,144500,300,144300,144800,142300,35455,골프존
2022.03.17,144800,1000,145300,145400,142800,36567,골프존
2022.03.16,143800,3900,142200,144200,139200,38641,골프존
2022.03.15,139900,600,139000,141100,136500,33738,골프존
2022.03.14,140500,4000,144000,144400,138400,56431,골프존
2022.03.11,144500,2500,147000,147000,142200,55910,골프존
2022.03.10,147000,0,148000,148700,145200,33326,골프존
2022.03.08,147000,4300,150000,151400,145900,33314,골프존
2022.03.22,57500,200,57100,57600,56900,26578,국도화학
2022.03.21,57300,100,57600,57900,57000,23551,국도화학
2022.03.18,57400,300,57400,57400,56500,31581,국도화학
2022.03.17,57100,400,57300,58100,56900,36608,국도화학
2022.03.16,56700,300,56900,57300,55800,29041,국도화학
2022.03.15,56400,500,56700,58000,56000,29895,국도화학
2022.03.14,56900,1700,58600,58600,56600,32847,국도화학
2022.03.11,58600,1800,56800,58900,56000,54065,국도화학
2022.03.10,56800,200,57700,58200,56700,31031,국도화학
2022.03.08,57000,100,55800,57600,54700,67352,국도화학
2022.03.22,31100,500,30400,31200,30400,78992,GST
2022.03.21,30600,300,31050,31050,30500,66887,GST
2022.03.18,30900,950,30200,30900,29950,130110,GST
2022.03.17,29950,850,29850,30300,29600,169561,GST
2022.03.16,29100,50,29650,29700,28700,170341,GST
2022.03.15,29050,650,29700,29900,28800,105083,GST
2022.03.14,29700,1250,30850,30850,29450,156697,GST
2022.03.11,30950,550,31250,31600,30650,87099,GST
2022.03.10,31500,250,32200,32250,31350,52922,GST
2022.03.08,31250,550,30950,31700,30950,91069,GST
2022.03.22,31850,50,32300,32300,31450,134,금호건설우
2022.03.21,31900,200,31950,31950,31700,538,금호건설우
2022.03.18,31700,100,31900,31900,31450,237,금호건설우
2022.03.17,31600,50,31550,31600,31300,683,금호건설우
2022.03.16,31550,800,31000,31650,31000,1139,금호건설우
2022.03.15,30750,100,31000,31000,30650,231,금호건설우
2022.03.14,30850,100,31000,31500,30800,1358,금호건설우
2022.03.11,30750,500,30300,31000,30300,1947,금호건설우
2022.03.10,30250,150,30100,30250,30100,376,금호건설우
2022.03.08,30100,150,29900,30100,29900,187,금호건설우
2022.03.22,11550,200,11700,11700,11450,160101,금호건설
2022.03.21,11750,350,11700,11800,11600,206020,금호건설
2022.03.18,11400,0,11650,11750,11400,130269,금호건설
2022.03.17,11400,250,11750,11750,11300,208088,금호건설
2022.03.16,11650,350,11450,11850,11100,213430,금호건설
2022.03.15,11300,0,11450,11450,11050,125190,금호건설
2022.03.14,11300,50,11350,11900,11200,261174,금호건설
2022.03.11,11250,300,11000,11300,10950,128690,금호건설
2022.03.10,10950,300,10950,11000,10700,125229,금호건설
2022.03.08,10650,250,10800,10850,10500,71608,금호건설
2022.03.22,89400,900,88900,90300,88700,17743,금호석유우
2022.03.21,88500,2200,86400,89200,86400,23475,금호석유우
2022.03.18,86300,200,86600,87000,86100,18124,금호석유우
2022.03.17,86500,1000,86500,86900,86100,13712,금호석유우
2022.03.16,85500,1400,84300,86000,84200,15477,금호석유우
2022.03.15,84100,700,84500,85000,84000,9014,금호석유우
2022.03.14,84800,700,83500,86200,83500,16040,금호석유우
2022.03.11,84100,300,84100,84400,83400,11143,금호석유우
2022.03.10,83800,2800,83800,85100,83500,20645,금호석유우
2022.03.08,81000,900,81400,81700,80000,11863,금호석유우
2022.03.22,161500,2000,159500,162000,158500,89232,금호석유
2022.03.21,159500,0,160000,163000,158500,123631,금호석유
2022.03.18,159500,2000,158500,159500,156000,130774,금호석유
2022.03.17,157500,500,159000,160500,156500,129147,금호석유
2022.03.16,157000,7000,152000,157000,151000,112599,금호석유
2022.03.15,150000,1500,151500,153000,148000,84491,금호석유
2022.03.14,151500,1000,150500,155000,150000,89007,금호석유
2022.03.11,150500,1000,150500,151000,148000,86397,금호석유
2022.03.10,151500,4000,155000,155000,149000,121974,금호석유
2022.03.08,147500,4000,148000,150500,147000,136685,금호석유
2022.03.22,11550,50,11500,11700,11400,162570,나무가
2022.03.21,11500,250,11750,11800,11450,268966,나무가
