DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,PRC_VOL_5,PRC_AVG_10,PRC_VOL_10,PRC_MEDIAN,VOL_MEDIAN
2022-03-18,A230360,에코마케팅,4.48,16700,98848,16210,101015,16210,132326,16250,130083
2022-03-18,A247540,에코프로비엠,12.67,362500,166823,341820,275429,352680,274440,353300,248540
2022-03-18,A060250,NHN한국사이버결제,33.88,24900,63944,24170,71811,24105,88503,24000,76050
2022-03-18,A061970,엘비세미콘,2.34,10750,231384,10510,228208,10635,307301,10650,288164
2022-03-18,A058970,엠로,2.45,17600,1040409,17190,260455,17105,161667,17050,64550
2022-03-18,A347890,엠투아이,0.5,9370,159667,9042,61711,9007,61114,8975,56948
2022-03-18,A048260,오스템임플란트,43.73,142700,0,142700,0,142700,0,142700,0
2022-03-18,A104830,원익머트리얼즈,17.52,33650,105174,32710,112509,33435,156450,33375,143116
2022-03-18,A240810,원익IPS,19.16,37500,455663,35940,277762,36095,234715,36025,180688
2022-03-18,A074600,원익QnC,2.27,25750,231097,24720,246085,24970,257214,24925,255595
2022-03-18,A101160,월덱스,1.86,23700,117411,22900,141654,23090,145256,22975,148230
2022-03-18,A069080,웹젠,25.57,24250,132715,23380,152557,23320,172668,23375,161842
2022-03-18,A053580,웹케시,21.92,24100,12519,23220,12739,23455,13005,23450,13770
2022-03-18,A065370,위세아이텍,6.67,16000,535155,14990,287189,14065,163485,13900,74778
2022-03-18,A014830,유니드,11.63,96900,114397,98180,97660,97510,141195,96750,115773
2022-03-18,A036200,유니셈,4.84,11600,330930,10970,257462,11150,188206,11200,147334
2022-03-18,A077500,유니퀘스트,44.72,10800,111153,10530,137010,10695,121381,10700,111260
2022-03-18,A084370,유진테크,23.5,46850,154232,43490,203398,43715,164081,43550,148738
2022-03-18,A025820,이구산업,0.85,4345,899658,4383,3216896,4505,3819897,4392,1799977
2022-03-18,A088390,이녹스,1.4,22100,73511,20330,37586,20410,33382,20225,31965
2022-03-18,A272290,이녹스첨단소재,19.93,45200,791036,42160,299021,41990,240771,41800,183971
2022-03-18,A264850,이랜시스,0.03,3705,939380,3559,719221,3482,465528,3487,240787
2022-03-18,A139480,이마트,30.87,135500,246323,136200,227740,135200,223127,135500,219549
2022-03-18,A005950,이수화학,1.74,13000,179026,12920,282840,12770,231485,12775,204552
2022-03-18,A123570,이엠넷,25.52,6150,49444,6160,38414,6124,40351,6120,41212
2022-03-18,A091120,이엠텍,5.62,37550,90908,35980,195055,36185,225385,35950,195314
2022-03-18,A039030,이오테크닉스,15.61,99800,63033,95000,59098,95350,75560,95050,78085
2022-03-18,A092130,이크레더블,12.48,18850,11992,18630,12179,18620,11532,18600,11963
2022-03-18,A277410,인산가,2.95,2325,304894,2293,1476294,2260,828751,2247,207419
2022-03-18,A216050,인크로스,16.18,42600,4311,42480,4139,42360,4856,42350,3839
2022-03-18,A317400,자이에스앤디,0.61,9820,73269,9800,202467,9568,171485,9700,140096
2022-03-18,A040420,정상제이엘에스,5.97,7810,12909,7784,21856,7804,31315,7795,24516
2022-03-18,A122310,제노레이,8.65,10750,153173,10650,134800,10435,144282,10525,130971
2022-03-18,A287410,제이시스메디칼,7.88,8440,1493245,8332,2496825,8109,1671924,8090,1393947
2022-03-18,A137950,제이씨케미칼,1.13,8710,284762,8602,428237,9047,1344295,8825,573170
2022-03-18,A194370,제이에스코퍼레이션,1.55,25250,130106,24510,155227,24615,170521,24650,140411
2022-03-18,A035900,JYP Ent.,23.94,52800,383697,52860,495204,52040,521409,52600,453728
2022-03-18,A030000,제일기획,31.44,22950,516153,22350,270628,22465,284798,22300,232320
2022-03-18,A067000,조이시티,5.51,8060,729400,8024,1067651,8370,1228796,8335,898956
2022-03-18,A036930,주성엔지니어링,12.37,24550,1070681,23610,1397575,24540,1384649,24275,1257773
2022-03-18,A023450,동남합성,0.01,61700,753,61620,959,61640,1058,61600,986
2022-03-18,A263860,지니언스,10.5,11150,641013,10670,226600,10505,196788,10450,114095
2022-03-18,A007070,GS리테일,7.4,28400,250821,28120,301116,27470,384063,27925,350671
2022-03-18,A007370,진양제약,2.98,7330,96274,7276,154571,7042,107645,7110,86502
